,Latitudemean,Latitudestd,Longitudemean,Longitudestd,Elevationmean,Elevationstd,MeanAnnual Temperaturemean,MeanAnnual Temperaturestd,MeanAnnualPrecipitationmean,MeanAnnualPrecipitationstd
0,37.561404149814656,3.885207573038694,-82.75415279052902,10.678690771713821,175.92395452297436,146.96981689718925,13.636383986473838,3.432466605776908,93.13134196465215,16.836801265920908
1,36.5214783510835,3.7255360436797806,-82.59015831912268,10.007829043036187,200.81442255411864,208.946211881238,14.52551980522882,3.263945138846385,90.95787539566635,16.49931350849849
2,38.54839184931319,5.084836235428576,-89.89793276210757,17.3785525187556,264.850617650156,370.97481925995197,12.717792293989643,4.376465050106479,80.06909357100619,25.707111676478
3,38.08797500682506,4.845749268921844,-89.24567347829579,16.43358678770552,265.42764491872384,331.01718849073205,12.93564460730703,4.330092756996425,83.67621524885327,21.832730578217642
4,37.95442217673263,5.800008288420078,-96.67289464704974,20.705426840855857,367.3267046672961,535.0795125249449,13.248735868864076,4.702366759194869,75.14045050291833,27.43733058818543
5,37.38384077690161,4.316378544967904,-81.76092173549547,10.825543919340136,174.31829395264907,193.10797495197357,13.782316889974283,3.903527988396148,94.14246837966596,15.051617391810485
6,42.40697819898312,4.994926562974261,-98.81915506472643,21.921263409039245,345.79375989341605,459.6507704753486,10.153501284904603,3.600412533553429,76.99792539502545,27.268769549458117
7,37.24799609181766,3.4075787613918083,-82.83137607508047,10.761037770131178,158.7313859341369,134.43270755374607,13.767189589860937,3.1513047492996793,88.59103788363508,19.52057405376755
8,39.60743219176244,4.170303769558328,-92.46362178537268,19.81938598439876,263.62620282448495,404.5831865521732,11.81853298604365,3.3493709217175005,75.16351786426185,28.544730950794527
9,38.96706325454001,3.9157156138862654,-84.27851657047617,12.98027945304668,192.44101444086726,206.8624407584574,12.325799805740338,3.577626024298649,85.94407953243751,16.84026223791825
10,33.15014693260618,6.541625184524685,-94.06420941101028,22.68924923090412,167.28104837854266,257.8165521526825,17.199340622951997,5.246692340332169,94.23755199730701,26.257764634095757
11,39.12222767344776,4.5665391810142655,-92.7543429473884,19.226073991948432,257.89804515230935,276.7296635361192,12.304278173769623,3.894375278918188,83.1847703709465,26.26562569608011
12,38.73727357513389,4.581757624921347,-85.5884468500607,14.665251915913927,289.1449981476306,513.6592993349853,12.277242489041484,4.359323784720653,83.64297806947187,21.84070318529417
13,38.19357400046738,4.241562396086605,-91.59335309623708,18.167505501571803,251.34767735984474,320.4655690860081,13.054074180840045,3.6470897646154152,80.09324431937247,25.741072030835117
14,36.54190904190504,3.4884464457012667,-84.0299559201384,10.201285198586255,187.7018330462207,154.71277640134713,14.50293939831354,3.20229493233368,92.88866254191291,15.590505916312328
15,38.92686243465817,5.241105685340572,-89.85279315373123,18.307994413977553,226.7296892711803,329.3737651568898,12.716913927687798,4.378740457759365,84.71097188108864,26.3478921109859
16,39.92875896387493,3.5478863309476654,-87.3200725980054,15.468525972739254,189.32179666798118,124.48000020045069,11.739067171652046,3.1005747192432005,83.59724149310122,16.83735651931481
17,36.00057052247121,4.434614182270369,-103.16300604879353,13.853838669337636,758.8170183685751,710.1605940866926,14.183765307961052,4.874653305155977,51.56212867758525,30.044951872721693
18,38.77171167831054,4.436128451663431,-97.68984812401634,15.50722750870555,550.9594882922878,596.8909431405862,12.118881453752431,4.33811980429308,63.525131094109824,27.471082842781204
19,37.54141554462658,4.7029285597824515,-89.03594270971355,12.7758679883061,238.9616557243908,269.11643419829994,13.516075500614868,4.409491752593612,81.15599098035949,22.397230428025267
